"Title","Trade in Goods: South Korea: Total: Exports: BOP: CP: SA"
"CDID","ERDM"
"Source dataset ID","MRET"
"PreUnit",""
"Unit",""
"Release date","11-07-2024"
"Next release","15 August 2024"
"Important notes",
"1997","1262"
"1998","695"
"1999","900"
"2000","1212"
"2001","1261"
"2002","1499"
"2003","1491"
"2004","1484"
"2005","1693"
"2006","1740"
"2007","1888"
"2008","2441"
"2009","2055"
"2010","2230"
"2011","2545"
"2012","4675"
"2013","5018"
"2014","4214"
"2015","4900"
"2016","4782"
"2017","6748"
"2018","6789"
"2019","4486"
"2020","4871"
"2021","5769"
"2022","7489"
"2023","5723"
"1997 Q1","297"
"1997 Q2","339"
"1997 Q3","326"
"1997 Q4","300"
"1998 Q1","157"
"1998 Q2","185"
"1998 Q3","160"
"1998 Q4","193"
"1999 Q1","197"
"1999 Q2","233"
"1999 Q3","222"
"1999 Q4","248"
"2000 Q1","284"
"2000 Q2","303"
"2000 Q3","309"
"2000 Q4","316"
"2001 Q1","312"
"2001 Q2","318"
"2001 Q3","311"
"2001 Q4","320"
"2002 Q1","329"
"2002 Q2","430"
"2002 Q3","382"
"2002 Q4","358"
"2003 Q1","389"
"2003 Q2","361"
"2003 Q3","354"
"2003 Q4","387"
"2004 Q1","334"
"2004 Q2","348"
"2004 Q3","391"
"2004 Q4","411"
"2005 Q1","393"
"2005 Q2","455"
"2005 Q3","422"
"2005 Q4","423"
"2006 Q1","371"
"2006 Q2","415"
"2006 Q3","464"
"2006 Q4","490"
"2007 Q1","424"
"2007 Q2","484"
"2007 Q3","441"
"2007 Q4","539"
"2008 Q1","504"
"2008 Q2","799"
"2008 Q3","612"
"2008 Q4","526"
"2009 Q1","410"
"2009 Q2","489"
"2009 Q3","532"
"2009 Q4","624"
"2010 Q1","513"
"2010 Q2","610"
"2010 Q3","595"
"2010 Q4","512"
"2011 Q1","545"
"2011 Q2","522"
"2011 Q3","551"
"2011 Q4","927"
"2012 Q1","1063"
"2012 Q2","1380"
"2012 Q3","1052"
"2012 Q4","1180"
"2013 Q1","1411"
"2013 Q2","937"
"2013 Q3","769"
"2013 Q4","1901"
"2014 Q1","1179"
"2014 Q2","985"
"2014 Q3","910"
"2014 Q4","1140"
"2015 Q1","1291"
"2015 Q2","1289"
"2015 Q3","1212"
"2015 Q4","1108"
"2016 Q1","1160"
"2016 Q2","1042"
"2016 Q3","953"
"2016 Q4","1627"
"2017 Q1","1428"
"2017 Q2","1667"
"2017 Q3","1565"
"2017 Q4","2088"
"2018 Q1","1410"
"2018 Q2","1893"
"2018 Q3","2127"
"2018 Q4","1359"
"2019 Q1","1094"
"2019 Q2","1031"
"2019 Q3","1319"
"2019 Q4","1042"
"2020 Q1","1058"
"2020 Q2","1040"
"2020 Q3","1341"
"2020 Q4","1432"
"2021 Q1","1436"
"2021 Q2","1029"
"2021 Q3","1246"
"2021 Q4","2058"
"2022 Q1","2301"
"2022 Q2","1881"
"2022 Q3","1984"
"2022 Q4","1323"
"2023 Q1","1435"
"2023 Q2","1142"
"2023 Q3","1569"
"2023 Q4","1577"
"2024 Q1","971"
"1997 JAN","109"
"1997 FEB","98"
"1997 MAR","90"
"1997 APR","101"
"1997 MAY","118"
"1997 JUN","120"
"1997 JUL","126"
"1997 AUG","110"
"1997 SEP","90"
"1997 OCT","106"
"1997 NOV","96"
"1997 DEC","98"
"1998 JAN","56"
"1998 FEB","44"
"1998 MAR","57"
"1998 APR","65"
"1998 MAY","56"
"1998 JUN","64"
"1998 JUL","55"
"1998 AUG","44"
"1998 SEP","61"
"1998 OCT","61"
"1998 NOV","67"
"1998 DEC","65"
"1999 JAN","58"
"1999 FEB","63"
"1999 MAR","76"
"1999 APR","69"
"1999 MAY","72"
"1999 JUN","92"
"1999 JUL","70"
"1999 AUG","80"
"1999 SEP","72"
"1999 OCT","76"
"1999 NOV","90"
"1999 DEC","82"
"2000 JAN","79"
"2000 FEB","107"
"2000 MAR","98"
"2000 APR","102"
"2000 MAY","85"
"2000 JUN","116"
"2000 JUL","100"
"2000 AUG","102"
"2000 SEP","107"
"2000 OCT","115"
"2000 NOV","94"
"2000 DEC","107"
"2001 JAN","113"
"2001 FEB","91"
"2001 MAR","108"
"2001 APR","95"
"2001 MAY","101"
"2001 JUN","122"
"2001 JUL","113"
"2001 AUG","105"
"2001 SEP","93"
"2001 OCT","101"
"2001 NOV","116"
"2001 DEC","103"
"2002 JAN","110"
"2002 FEB","104"
"2002 MAR","115"
"2002 APR","141"
"2002 MAY","158"
"2002 JUN","131"
"2002 JUL","159"
"2002 AUG","122"
"2002 SEP","101"
"2002 OCT","124"
"2002 NOV","98"
"2002 DEC","136"
"2003 JAN","130"
"2003 FEB","128"
"2003 MAR","131"
"2003 APR","146"
"2003 MAY","119"
"2003 JUN","96"
"2003 JUL","112"
"2003 AUG","129"
"2003 SEP","113"
"2003 OCT","131"
"2003 NOV","99"
"2003 DEC","157"
"2004 JAN","93"
"2004 FEB","119"
"2004 MAR","122"
"2004 APR","117"
"2004 MAY","116"
"2004 JUN","115"
"2004 JUL","137"
"2004 AUG","131"
"2004 SEP","123"
"2004 OCT","108"
"2004 NOV","143"
"2004 DEC","160"
"2005 JAN","123"
"2005 FEB","112"
"2005 MAR","158"
"2005 APR","149"
"2005 MAY","146"
"2005 JUN","160"
"2005 JUL","133"
"2005 AUG","150"
"2005 SEP","139"
"2005 OCT","128"
"2005 NOV","145"
"2005 DEC","150"
"2006 JAN","125"
"2006 FEB","108"
"2006 MAR","138"
"2006 APR","161"
"2006 MAY","123"
"2006 JUN","131"
"2006 JUL","134"
"2006 AUG","156"
"2006 SEP","174"
"2006 OCT","167"
"2006 NOV","203"
"2006 DEC","120"
"2007 JAN","109"
"2007 FEB","141"
"2007 MAR","174"
"2007 APR","140"
"2007 MAY","173"
"2007 JUN","171"
"2007 JUL","150"
"2007 AUG","172"
"2007 SEP","119"
"2007 OCT","183"
"2007 NOV","197"
"2007 DEC","159"
"2008 JAN","168"
"2008 FEB","173"
"2008 MAR","163"
"2008 APR","165"
"2008 MAY","146"
"2008 JUN","488"
"2008 JUL","188"
"2008 AUG","188"
"2008 SEP","236"
"2008 OCT","217"
"2008 NOV","138"
"2008 DEC","171"
"2009 JAN","150"
"2009 FEB","143"
"2009 MAR","117"
"2009 APR","190"
"2009 MAY","142"
"2009 JUN","157"
"2009 JUL","224"
"2009 AUG","115"
"2009 SEP","193"
"2009 OCT","206"
"2009 NOV","206"
"2009 DEC","212"
"2010 JAN","142"
"2010 FEB","188"
"2010 MAR","183"
"2010 APR","185"
"2010 MAY","264"
"2010 JUN","161"
"2010 JUL","227"
"2010 AUG","166"
"2010 SEP","202"
"2010 OCT","181"
"2010 NOV","161"
"2010 DEC","170"
"2011 JAN","170"
"2011 FEB","189"
"2011 MAR","186"
"2011 APR","178"
"2011 MAY","165"
"2011 JUN","179"
"2011 JUL","203"
"2011 AUG","186"
"2011 SEP","162"
"2011 OCT","207"
"2011 NOV","201"
"2011 DEC","519"
"2012 JAN","432"
"2012 FEB","252"
"2012 MAR","379"
"2012 APR","494"
"2012 MAY","407"
"2012 JUN","479"
"2012 JUL","492"
"2012 AUG","275"
"2012 SEP","285"
"2012 OCT","368"
"2012 NOV","230"
"2012 DEC","582"
"2013 JAN","467"
"2013 FEB","518"
"2013 MAR","426"
"2013 APR","287"
"2013 MAY","206"
"2013 JUN","444"
"2013 JUL","255"
"2013 AUG","247"
"2013 SEP","267"
"2013 OCT","515"
"2013 NOV","802"
"2013 DEC","584"
"2014 JAN","352"
"2014 FEB","578"
"2014 MAR","249"
"2014 APR","394"
"2014 MAY","302"
"2014 JUN","289"
"2014 JUL","321"
"2014 AUG","223"
"2014 SEP","366"
"2014 OCT","422"
"2014 NOV","428"
"2014 DEC","290"
"2015 JAN","404"
"2015 FEB","356"
"2015 MAR","531"
"2015 APR","401"
"2015 MAY","386"
"2015 JUN","502"
"2015 JUL","483"
"2015 AUG","241"
"2015 SEP","488"
"2015 OCT","302"
"2015 NOV","381"
"2015 DEC","425"
"2016 JAN","220"
"2016 FEB","473"
"2016 MAR","467"
"2016 APR","309"
"2016 MAY","332"
"2016 JUN","401"
"2016 JUL","279"
"2016 AUG","406"
"2016 SEP","268"
"2016 OCT","483"
"2016 NOV","492"
"2016 DEC","652"
"2017 JAN","447"
"2017 FEB","416"
"2017 MAR","565"
"2017 APR","504"
"2017 MAY","755"
"2017 JUN","408"
"2017 JUL","482"
"2017 AUG","652"
"2017 SEP","431"
"2017 OCT","915"
"2017 NOV","622"
"2017 DEC","551"
"2018 JAN","394"
"2018 FEB","357"
"2018 MAR","659"
"2018 APR","774"
"2018 MAY","581"
"2018 JUN","538"
"2018 JUL","1047"
"2018 AUG","554"
"2018 SEP","526"
"2018 OCT","541"
"2018 NOV","540"
"2018 DEC","278"
"2019 JAN","298"
"2019 FEB","516"
"2019 MAR","280"
"2019 APR","268"
"2019 MAY","354"
"2019 JUN","409"
"2019 JUL","731"
"2019 AUG","307"
"2019 SEP","281"
"2019 OCT","324"
"2019 NOV","308"
"2019 DEC","410"
"2020 JAN","238"
"2020 FEB","388"
"2020 MAR","432"
"2020 APR","209"
"2020 MAY","200"
"2020 JUN","631"
"2020 JUL","393"
"2020 AUG","420"
"2020 SEP","528"
"2020 OCT","481"
"2020 NOV","459"
"2020 DEC","492"
"2021 JAN","283"
"2021 FEB","581"
"2021 MAR","572"
"2021 APR","307"
"2021 MAY","352"
"2021 JUN","370"
"2021 JUL","285"
"2021 AUG","328"
"2021 SEP","633"
"2021 OCT","688"
"2021 NOV","883"
"2021 DEC","487"
"2022 JAN","712"
"2022 FEB","730"
"2022 MAR","859"
"2022 APR","684"
"2022 MAY","896"
"2022 JUN","301"
"2022 JUL","343"
"2022 AUG","1189"
"2022 SEP","452"
"2022 OCT","410"
"2022 NOV","352"
"2022 DEC","561"
"2023 JAN","576"
"2023 FEB","428"
"2023 MAR","431"
"2023 APR","349"
"2023 MAY","444"
"2023 JUN","349"
"2023 JUL","469"
"2023 AUG","415"
"2023 SEP","685"
"2023 OCT","536"
"2023 NOV","340"
"2023 DEC","701"
"2024 JAN","290"
"2024 FEB","352"
"2024 MAR","329"
"2024 APR","270"
"2024 MAY","532"
